38 Provinsi,,,,,,,,,,,,
,Rata-Rata Pendapatan Bersih Sebulan Pekerja Berusaha Sendiri Menurut Provinsi dan Lapangan Pekerjaan Utama (Ribu Rupiah),,,,,,,,,,,
,Pertanian,,,Industri,,,Jasa,,,Jumlah,,
,2025,,,2025,,,2025,,,2025,,
,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan
ACEH,2301.5,-,-,1790,-,-,2163.7,-,-,2126.7,-,-
SUMATERA UTARA,1157.2,-,-,1728.5,-,-,2140.5,-,-,1849.4,-,-
SUMATERA BARAT,1326.1,-,-,1569.3,-,-,2147.3,-,-,1828.7,-,-
RIAU,2091.8,-,-,2399.7,-,-,2861,-,-,2559.8,-,-
JAMBI,2143.3,-,-,2489.8,-,-,2326.9,-,-,2273.7,-,-
SUMATERA SELATAN,2182,-,-,2128.1,-,-,1930.3,-,-,2053.1,-,-
BENGKULU,2483.3,-,-,-,-,-,2171.2,-,-,2449.5,-,-
LAMPUNG,2034.7,-,-,1905.9,-,-,1922.6,-,-,1968,-,-
KEP. BANGKA BELITUNG,2521.3,-,-,2495.2,-,-,2213.5,-,-,2396.2,-,-
KEP. RIAU,2126.1,-,-,1834.9,-,-,2666.3,-,-,2421.8,-,-
DKI JAKARTA,2141.1,-,-,3146.4,-,-,3031.3,-,-,3037.5,-,-
JAWA BARAT,1472,-,-,1465.5,-,-,2154.2,-,-,1939,-,-
JAWA TENGAH,968.5,-,-,1420.9,-,-,1687.1,-,-,1459.2,-,-
DI YOGYAKARTA,785.4,-,-,1175.3,-,-,1775.8,-,-,1445.3,-,-
JAWA TIMUR,1206.4,-,-,2019.9,-,-,1669.7,-,-,1607.8,-,-
BANTEN,1672.2,-,-,1730.2,-,-,2418.7,-,-,2222.7,-,-
BALI,1787.2,-,-,1508.1,-,-,3080,-,-,2348.1,-,-
NUSA TENGGARA BARAT,1364.9,-,-,1252.9,-,-,1508.4,-,-,1424.4,-,-
NUSA TENGGARA TIMUR,1360.9,-,-,955.4,-,-,1304.5,-,-,1228,-,-
KALIMANTAN BARAT,1654.1,-,-,2134.5,-,-,2535.9,-,-,2073.4,-,-
KALIMANTAN TENGAH,1747.9,-,-,2815.9,-,-,2853.7,-,-,2441.7,-,-
KALIMANTAN SELATAN,1836.4,-,-,1996.7,-,-,2103.9,-,-,1992.4,-,-
KALIMANTAN TIMUR,2246.1,-,-,3104,-,-,3206.1,-,-,2981.6,-,-
KALIMANTAN UTARA,2366.3,-,-,2392.7,-,-,2399.2,-,-,2385.4,-,-
SULAWESI UTARA,2180,-,-,2476.1,-,-,2391.9,-,-,2354.7,-,-
SULAWESI TENGAH,2082.8,-,-,2123.5,-,-,2295.8,-,-,2171,-,-
SULAWESI SELATAN,1925.2,-,-,1809.1,-,-,2025,-,-,1964.6,-,-
SULAWESI TENGGARA,1881.5,-,-,2052.4,-,-,1939.2,-,-,1937.2,-,-
GORONTALO,1881.4,-,-,2010,-,-,1551.2,-,-,1746,-,-
SULAWESI BARAT,1523.7,-,-,1845.9,-,-,1706,-,-,1618.6,-,-
MALUKU,1408.6,-,-,2464.9,-,-,2251.9,-,-,1990.5,-,-
MALUKU UTARA,1642.6,-,-,2183.8,-,-,2254.5,-,-,1981.8,-,-
PAPUA BARAT,1642.2,-,-,1598.9,-,-,1841.2,-,-,1700.6,-,-
PAPUA BARAT DAYA,1677.4,-,-,3596.2,-,-,2844.4,-,-,2553.2,-,-
PAPUA,1918.6,-,-,2121.7,-,-,2961.2,-,-,2461.6,-,-
PAPUA SELATAN,2526.3,-,-,2781.2,-,-,2938.2,-,-,2636,-,-
PAPUA TENGAH,1821.5,-,-,3497.8,-,-,2972.3,-,-,2168.9,-,-
PAPUA PEGUNUNGAN,1827.9,-,-,-,-,-,3307.5,-,-,1991.5,-,-
INDONESIA,1555,-,-,1798.4,-,-,2093.3,-,-,1903.3,-,-
