Provinsi,Sektor_Pekerjaan,Pendapatan_Ribu_Rp
,Pertanian,2025
ACEH,Pertanian,2301
SUMATERA UTARA,Pertanian,1157
SUMATERA BARAT,Pertanian,1326
RIAU,Pertanian,2091
JAMBI,Pertanian,2143
SUMATERA SELATAN,Pertanian,2182
BENGKULU,Pertanian,2483
LAMPUNG,Pertanian,2034
KEP. BANGKA BELITUNG,Pertanian,2521
KEP. RIAU,Pertanian,2126
DKI JAKARTA,Pertanian,2141
JAWA BARAT,Pertanian,1472
JAWA TENGAH,Pertanian,968
DI YOGYAKARTA,Pertanian,785
JAWA TIMUR,Pertanian,1206
BANTEN,Pertanian,1672
BALI,Pertanian,1787
NUSA TENGGARA BARAT,Pertanian,1364
NUSA TENGGARA TIMUR,Pertanian,1360
KALIMANTAN BARAT,Pertanian,1654
KALIMANTAN TENGAH,Pertanian,1747
KALIMANTAN SELATAN,Pertanian,1836
KALIMANTAN TIMUR,Pertanian,2246
KALIMANTAN UTARA,Pertanian,2366
SULAWESI UTARA,Pertanian,2180
SULAWESI TENGAH,Pertanian,2082
SULAWESI SELATAN,Pertanian,1925
SULAWESI TENGGARA,Pertanian,1881
GORONTALO,Pertanian,1881
SULAWESI BARAT,Pertanian,1523
MALUKU,Pertanian,1408
MALUKU UTARA,Pertanian,1642
PAPUA BARAT,Pertanian,1642
PAPUA BARAT DAYA,Pertanian,1677
PAPUA,Pertanian,1918
PAPUA SELATAN,Pertanian,2526
PAPUA TENGAH,Pertanian,1821
PAPUA PEGUNUNGAN,Pertanian,1827
INDONESIA,Pertanian,1555
,Industri,2025
ACEH,Industri,1790
SUMATERA UTARA,Industri,1728
SUMATERA BARAT,Industri,1569
RIAU,Industri,2399
JAMBI,Industri,2489
SUMATERA SELATAN,Industri,2128
LAMPUNG,Industri,1905
KEP. BANGKA BELITUNG,Industri,2495
KEP. RIAU,Industri,1834
DKI JAKARTA,Industri,3146
JAWA BARAT,Industri,1465
JAWA TENGAH,Industri,1420
DI YOGYAKARTA,Industri,1175
JAWA TIMUR,Industri,2019
BANTEN,Industri,1730
BALI,Industri,1508
NUSA TENGGARA BARAT,Industri,1252
NUSA TENGGARA TIMUR,Industri,955
KALIMANTAN BARAT,Industri,2134
KALIMANTAN TENGAH,Industri,2815
KALIMANTAN SELATAN,Industri,1996
KALIMANTAN TIMUR,Industri,3104
KALIMANTAN UTARA,Industri,2392
SULAWESI UTARA,Industri,2476
SULAWESI TENGAH,Industri,2123
SULAWESI SELATAN,Industri,1809
SULAWESI TENGGARA,Industri,2052
GORONTALO,Industri,2010
SULAWESI BARAT,Industri,1845
MALUKU,Industri,2464
MALUKU UTARA,Industri,2183
PAPUA BARAT,Industri,1598
PAPUA BARAT DAYA,Industri,3596
PAPUA,Industri,2121
PAPUA SELATAN,Industri,2781
PAPUA TENGAH,Industri,3497
INDONESIA,Industri,1798
,Jasa,2025
ACEH,Jasa,2163
SUMATERA UTARA,Jasa,2140
SUMATERA BARAT,Jasa,2147
RIAU,Jasa,2861
JAMBI,Jasa,2326
SUMATERA SELATAN,Jasa,1930
BENGKULU,Jasa,2171
LAMPUNG,Jasa,1922
